address;id;latitude;longitude;name;number;total_bases;neighbours
Puerta del Sol nº 1;1;40.4168961;-3.7024255;Puerta del Sol A;1a;24;Centro
Puerta del Sol nº 1;2;40.4170009;-3.7024207;Puerta del Sol B;1b;24;Centro
Calle Miguel Moya nº 1;3;40.4205886;-3.7058415;Miguel Moya;2;24;Centro
Plaza del Conde Suchil nº 2-4;4;40.4302937;-3.7069171;Plaza Conde Suchil;3;18;Chamberí
Calle Manuela Malasaña nº 5;5;40.4285524;-3.7025875;Malasaña;4;24;Centro
Calle Fuencarral nº 108;6;40.4285280;-3.7020599;Fuencarral;5;27;Centro
Calle Hortaleza nº 63;7;40.4241480;-3.6984470;Colegio Arquitectos;6;24;Centro
Calle Hortaleza nº 75;8;40.4251906;-3.6977715;Hortaleza;7;21;Centro
Plaza de Alonso Martínez nº 5;9;40.4278682;-3.6954403;Alonso Martínez;8;24;Chamberí
Plaza de San Miguel nº 9;10;40.4156057;-3.7095084;Plaza de San Miguel;9;24;Centro
Calle Marqués de la Ensenada nº 16;11;40.4250863;-3.6918807;Marqués de la Ensenada;10;24;Centro
Calle San Andrés nº 18;12;40.4269483;-3.7035918;San Andrés;11;24;Centro
Calle San Bernardo nº 85;13;40.4284246;-3.7061931;San Hermenegildo;12;24;Centro
Calle Conde Duque nº 22;14;40.4273264;-3.7104417;Conde Duque;13;24;Centro
Calle Ventura Rodríguez nº 2;15;40.4260957;-3.7134790;Ventura Rodríguez;14;24;Moncloa-Aravaca
Calle San Vicente Ferrer nº 64;16;40.4261649;-3.7073764;San Vicente Ferrer;15;21;Centro
Calle San Bernardo nº 22;17;40.4230721;-3.7075065;San Bernardo;16;21;Centro
Plaza de Carlos Cambronero nº 2;18;40.4232649;-3.7038312;Carlos Cambronero;17;24;Centro
Plaza de Pedro Zerolo;19;40.4207773;-3.6996502;Plaza de Pedro Zerolo;18;24;Centro
Calle Prim nº 2;20;40.4218616;-3.6954983;Prim;19;24;Centro
Calle Alcalá nº 49;21;40.4192342;-3.6954615;Banco de España A;20a;30;Centro
Calle Montera nº 48;23;40.4197872;-3.7014814;Red de San Luis A;21a;24;Centro
Calle Montera nº 47;24;40.4197204;-3.7015235;Red de San Luis B;21b;24;Centro
Calle Jacometrezo nº 3;25;40.4200783;-3.7065376;Jacometrezo;22;24;Centro
Plaza de Santo Domingo nº 1;26;40.4197429;-3.7080733;Santo Domingo;23;24;Centro
Calle Carlos III nº 1;27;40.4182146;-3.7103538;Palacio de Oriente;24;24;Centro
Plaza de Celenque nº 1;28;40.4173114;-3.7064809;Plaza de Celenque A;25a;24;Centro
Plaza de Celenque nº 1;29;40.4172781;-3.7063837;Plaza de Celenque B;25b;24;Centro
Plaza de las Salesas 7;30;40.423855;-3.694475;Plaza de las Salesas;26;24;Centro
Calle Jesús nº 1;31;40.4132798;-3.6956178;Huertas;27;24;Centro
Calle Alcalá nº 27;32;40.4181663;-3.6992600;Sevilla;28;24;Centro
Calle del Marqués de Cubas nº 25;33;40.4162619;-3.6957355;Marqués de Cubas;29;24;Centro
Calle Pavía nº 6;34;40.4192095;-3.7115040;San Quintín;30;27;Centro
Calle Mayor nº 20;35;40.4163638;-3.7068969;Calle Mayor;31;27;Centro
Plaza de la Provincia nº 1;36;40.4150099;-3.7061032;Plaza de la Provincia;32;18;Centro
Calle Carretas nº 8;37;40.4157138;-3.7031808;Carretas;33;24;Centro
Plaza de Jacinto Benavente;38;40.4146755;-3.7036825;Jacinto Benavente;34;24;Centro
Plaza del Cordón nº 1;39;40.4141931;-3.7103285;Plaza del Cordón;35;24;Centro
Plaza de Ramales nº 1;40;40.4167281;-3.7124038;Plaza de Ramales;36;24;Centro
Plaza de San Francisco nº 5;41;40.4108442;-3.7144964;Plaza San Francisco;37;24;Centro
Carrera de San Francisco nº 1;42;40.4110406;-3.7120734;Plaza de los Carros;38;24;Centro
Plaza de la Cebada nº 16 ;43;40.4112744;-3.7088337;Plaza de la Cebada;39;27;Centro
Plaza del Conde de Romanones nº 9;44;40.4138846;-3.7049407;Conde de Romanones;40;24;Centro
Calle Atocha nº 54;45;40.4122047;-3.6991147;Antón Martín;41;21;Centro
Calle Santa Isabel nº 32;46;40.4107085;-3.6982318;Santa Isabel;42;24;Centro
Calle Lavapiés nº 34-36;47;40.4101564;-3.7025024;Jesús y María;43;24;Centro
Calle Mesón de Paredes nº 35;48;40.4097617;-3.7040666;Plaza de Nelson Mandela;44;21;Centro
Glorieta de la Puerta de Toledo nº 1;49;40.4070358;-3.7110513;Puerta de Toledo;45;21;Centro
Calle Ribera de Curtidores nº 28;50;40.4053153;-3.7071259;Ribera de Curtidores;46;24;Arganzuela
Glorieta de Embajadores nº 6;51;40.4047851;-3.7028265;Embajadores 1;47;24;Arganzuela
Glorieta de Embajadores nº 2;52;40.4056107;-3.7022591;Embajadores 2;48;24;Centro
Ronda de Atocha nº 34;53;40.4060941;-3.6992759;Casa Encendida;49;24;Centro
Calle Santa Isabel nº 57;54;40.4083684;-3.6933463;Museo Reina Sofía;50;24;Centro
Ronda de Atocha nº 2;55;40.4075606;-3.6935205;Ronda de Atocha;51;27;Arganzuela
Plaza de Santa Ana nº 10;56;40.4144226;-3.7007164;Plaza de Santa Ana;52;24;Centro
Calle Valencia nº 1;57;40.4089282;-3.7008803;Plaza de Lavapiés;53;24;Centro
Calle Barceló nº 7;58;40.4266828;-3.7004230;Barceló;54;21;Centro
Plaza de San Ildefonso nº 3;59;40.4239757;-3.7020842;Plaza de San Ildefonso;55;24;Centro
Plaza del Carmen nº 1;60;40.4184192;-3.7032414;Plaza del Carmen ;56;24;Centro
Calle Santa Cruz del Marcenado nº 24;61;40.4295658;-3.7126299;Santa Cruz del Marcenado;57;24;Centro
Calle Augusto Figueroa nº 33;62;40.4222862;-3.6978950;Augusto Figueroa;58;24;Centro
Calle Espíritu Santo nº 30;63;40.4255495;-3.7043418;Plaza de Juan Pujol;59;21;Centro
Plaza de la Independencia nº 6;64;40.4197520;-3.6883980;Plaza de la Independencia;60;24;Retiro
Calle O'Donnell nº 28;65;40.4213983;-3.6752045;Narváez;61;24;Retiro
